5.5256 	EXP 	Set Window color=[ 0.  0.  0.] (rgb)
6.2559 	EXP 	Created Inst_text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=UNKNOWN, fontFiles=UNKNOWN, height=180, italic=False, name='Inst_text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=UNKNOWN)
6.2757 	EXP 	Created practice_trial_text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=UNKNOWN, fontFiles=UNKNOWN, height=300, italic=False, name='practice_trial_text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=UNKNOWN)
6.3616 	EXP 	Set  sound=A
6.3617 	EXP 	Set Sound  volume=1.000
6.3913 	EXP 	Created Ready_text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=UNKNOWN, fontFiles=UNKNOWN, height=120, italic=False, name='Ready_text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=UNKNOWN)
6.4067 	EXP 	Created During_trial_text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'white', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font=UNKNOWN, fontFiles=UNKNOWN, height=120, italic=False, name='During_trial_text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=UNKNOWN)
6.6892 	EXP 	Set  sound=A
6.6892 	EXP 	Set Sound  volume=1.000
6.6973 	EXP 	Created go_next_text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'white', colorSpace='named', contrast=1.0, depth=-4.0, flipHoriz=False, flipVert=False, font=UNKNOWN, fontFiles=UNKNOWN, height=120, italic=False, name='go_next_text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'Go next?\nhit space bar', units=u'norm', win=Window(...), wrapWidth=UNKNOWN)
6.7051 	EXP 	Created bye_text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=UNKNOWN, fontFiles=UNKNOWN, height=180, italic=False, name='bye_text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'Any text\n\nincluding line breaks', units=u'norm', win=Window(...), wrapWidth=UNKNOWN)
6.7089 	EXP 	TextStim: autoLog = None
6.7089 	EXP 	TextStim: autoLog = None
6.7089 	EXP 	TextStim: autoLog = None
6.7089 	EXP 	TextStim: autoLog = None
6.7089 	EXP 	TextStim: autoLog = None
6.7089 	EXP 	TextStim: autoLog = None
6.7089 	EXP 	TextStim: autoDraw = None
9.4369 	DATA 	Keypress: space
9.4389 	EXP 	Imported conditions_practice.csv as conditions, 1 conditions, 2 params
9.4392 	EXP 	Created sequence: random, trialTypes=1, nReps=1, seed=None
9.4769 	EXP 	New trial (rep=0, index=0): {'snd': u'seq4v_100sec.wav', 'cond': u'4v'}
9.4835 	EXP 	Set  sound=seq4v_100sec.wav
9.4863 	EXP 	TextStim: autoDraw = None
11.4869 	EXP 	Sound  started
11.5034 	EXP 	TextStim: autoDraw = None
15.1871 	DATA 	Keypress: space
20.0207 	DATA 	Keypress: space
22.3541 	DATA 	Keypress: space
26.0377 	DATA 	Keypress: space
31.1713 	DATA 	Keypress: space
34.1881 	DATA 	Keypress: space
39.1384 	DATA 	Keypress: space
41.2385 	DATA 	Keypress: space
45.9554 	DATA 	Keypress: space
48.9889 	DATA 	Keypress: space
51.2223 	DATA 	Keypress: space
54.0892 	DATA 	Keypress: space
58.4061 	DATA 	Keypress: space
61.0396 	DATA 	Keypress: space
64.1730 	DATA 	Keypress: space
66.2398 	DATA 	Keypress: space
69.1733 	DATA 	Keypress: space
73.0569 	DATA 	Keypress: space
77.8738 	DATA 	Keypress: space
79.7739 	DATA 	Keypress: down
79.7740 	EXP 	Sound  stopped
79.7905 	EXP 	TextStim: autoDraw = None
79.7905 	EXP 	TextStim: autoDraw = None
104.0752 	DATA 	Keypress: space
104.0770 	EXP 	Imported conditions.csv as conditions, 4 conditions, 2 params
104.0773 	EXP 	Created sequence: random, trialTypes=4, nReps=2, seed=None
